"ID","Sire","Dam"
"5114","1691","5267"
"5212","5120","5085"
"5213","4898","5085"
"5306","4938","4200"
"5332","1763","886"
"5335","2167","886"
"5411","906","5458"
"5437","2943","1223"
"5440","223","1223"
"90","5711","2789"
"92","5304","2789"
"94","5304","2789"
"115","1690","4967"
"203","3715","4963"
"205","1071","4963"
"1135","4182","3377"
"1933","1568","1885"
"2065","4182","3942"
"2067","5304","3942"
"2068","4182","3942"
"2100","4465","5301"
"2103","1691","5301"
"2178","4182","3380"
"2179","4182","3380"
"2180","4182","3380"
"2271","4241","3968"
"2272","5711","3968"
"2273","1691","3968"
"2274","813","3968"
"2292","4182","3969"
"2297","813","3969"
"2455","5711","3457"
"2614","3715","4962"
"2617","4938","811"
"2619","4938","811"
"2737","4241","5496"
"2741","3628","516"
"2743","5086","516"
"2744","3715","516"
"2756","4241","320"
"3009","4182","5088"
"3012","5304","5088"
"3277","3715","5687"
"3279","4241","5687"
"3418","4182","3462"
"3421","4182","3462"
"3615","4938","3609"
"3616","4938","3609"
"3618","5711","3609"
"3638","4182","264"
"3639","4182","264"
"3640","4182","264"
"3836","4182","261"
"3837","4182","261"
"3839","4182","261"
"3841","4182","261"
"3842","5307","261"
"3844","3715","3512"
"3849","1758","3512"
"4005","4182","4945"
"4006","4182","4945"
"4223","4465","3437"
"4462","5307","5448"
"4615","5086","65"
"4817","4182","4943"
"4823","4182","4943"
"4825","813","4943"
"4836","3715","4964"
"4837","5322","4964"
"4860","813","4944"
"5103","3628","2395"
"5169","3715","3510"
"5170","3715","3510"
"5215","5711","5085"
"5217","4182","5085"
"5218","4182","5085"
"5334","1071","886"
"5432","4182","5444"
"5441","4241","1223"
"5474","4182","260"
"5475","5711","260"
"5476","5711","260"
"5477","5304","260"
"5478","5304","260"
"318","2629",NA
"625","2629",NA
"1917","1746","1653"
"4220","2948","1662"
"1744","4031",NA
"3601","5214",NA
"2873","3726","982"
"1896","1913","1807"
"2138","2924","5265"
"4946","3273","5119"
"5006","2924","3719"
"611",NA,"3823"
"869",NA,"371"
"889",NA,"1054"
"890",NA,"1054"
"893",NA,"1054"
"895",NA,"1054"
"896",NA,"1054"
"1028",NA,"1056"
"1093",NA,"1057"
"1094",NA,"1057"
"1665","391",NA
"1678","4585",NA
"1697","1721",NA
"1741",NA,"3819"
"1866",NA,"2526"
"1873",NA,"2526"
"2040",NA,"1061"
"2115",NA,"2087"
"2849",NA,"5113"
"3246",NA,"265"
"3650",NA,"4337"
"897","1716","1054"
"1734","1669","2087"
