ID,Mother,BirthYear,Sex,BirthWt
2099,5301,1985,2,7.840000095
2130,1126,1985,2,5.94
2256,3199,1985,1,6.46
2270,3968,1985,1,6.739999619
2293,3969,1985,2,5.479999809
2401,2406,1985,2,5.239999905
2455,3457,1985,2,6.630000095
2525,402,1985,1,7.509999905
2629,5302,1985,2,6.92
2743,516,1985,2,7.91
2792,594,1985,2,5.64
2821,389,1985,2,6.580000191
2926,3454,1985,1,8.455
3009,5088,1985,1,6.64
3167,3412,1985,2,6.710000191
3202,3382,1985,2,5.840000095
3205,1059,1985,2,6.049999809
3441,1171,1985,1,6.685
3507,1060,1985,1,5.500000191
3515,4179,1985,1,7.720000191
3617,3609,1985,2,3.539999905
3645,894,1985,1,8.080000191
3651,4337,1985,1,7.609999809
3835,261,1985,2,7.269999905
3860,2031,1985,1,7.64
3875,4645,1985,1,7.119999809
4025,3867,1985,2,7.640000191
4341,1173,1985,2,7.019999809
4407,392,1985,2,7.32
5169,3510,1985,1,6.854999809
5216,5085,1985,2,6.64
5469,3524,1985,1,7.859999619
5474,260,1985,2,7.255000191
5504,4920,1985,2,6.180000095
89,2789,1986,2,5.320000095
216,5264,1986,2,7.160000381
586,596,1986,1,6.92
1131,342,1986,1,4.120000191
1784,582,1986,1,4.299999905
2013,661,1986,1,7.880000381
2042,1061,1986,1,4.28
2086,4185,1986,2,7.839999809
2100,5301,1986,1,5.28
2179,3380,1986,2,6.554999905
2257,3199,1986,1,5.440000191
2271,3968,1986,1,4.64
2630,5302,1986,1,7.479999809
3010,5088,1986,1,5.220000191
3418,3462,1986,2,5.740000191
3618,3609,1986,1,4.399999809
3836,261,1986,2,6.139999809
3845,3512,1986,2,6.23
3944,5121,1986,2,5.250000095
4224,3437,1986,1,8.119999809
4836,4964,1986,2,7.540000095
4967,5708,1986,1,7.64
5003,3719,1986,2,7.239999905
5439,1223,1986,2,7.520000381
5449,5251,1986,1,4.940000191
90,2789,1987,2,6.140000191
121,190,1987,2,5.974999809
203,4963,1987,1,6.360000191
587,596,1987,2,9.14
653,881,1987,1,8.580000191
668,5456,1987,1,6.400000191
887,911,1987,1,7.909999809
900,1054,1987,2,6.064999809
1132,342,1987,1,7.024999905
1209,5239,1987,2,7.399999809
1931,1885,1987,2,6.839999809
1935,5437,1987,2,6.479999809
1942,3859,1987,1,3.739999905
2043,1061,1987,2,5.28
2101,5301,1987,2,6.94
2105,4533,1987,1,5.879999905
2217,4961,1987,2,6.440000191
2258,3199,1987,1,6.739999905
2272,3968,1987,2,7.659999809
2433,5168,1987,1,6.619999809
2631,5302,1987,1,6.580000191
2744,516,1987,1,7.940000191
3133,476,1987,1,6.000000191
3173,3201,1987,1,4.270000095
3364,2255,1987,2,6.119999809
3516,4179,1987,2,6.14
3619,3609,1987,2,4.7
3638,264,1987,1,7.255000191
3652,4337,1987,1,7.059999905
3773,650,1987,1,7.840000095
3837,261,1987,1,7.85
3861,2031,1987,1,6.64
4080,2960,1987,1,4.799999905
4123,483,1987,2,5.210000191
4386,928,1987,2,6.680000095
4408,392,1987,2,8.440000191
4486,2453,1987,2,5.379999905
4837,4964,1987,1,6.760000191
4968,5708,1987,1,6.934999905
5097,663,1987,2,6.120000191
5105,2395,1987,2,4.419999905
5170,3510,1987,1,7.239999905
5217,5085,1987,2,6.374999905
5244,3271,1987,2,4.439999905
5402,5411,1987,2,7.720000191
5431,5444,1987,2,7.32
5440,1223,1987,1,6.659999809
5470,3524,1987,1,6.479999809
5475,260,1987,1,6.339999809
5505,4920,1987,2,4.239999905
210,664,1988,2,7.959999619
218,5264,1988,1,5.259999809
309,3860,1988,2,6.580000191
588,596,1988,2,8
1159,3651,1988,1,8.84
1235,2958,1988,2,7.720000191
1826,2524,1988,1,6.680000191
1943,3859,1988,2,6.399999809
2014,661,1988,1,6.820000095
2044,1061,1988,1,3.895
2066,3942,1988,1,6.42
2102,5301,1988,2,6.340000095
2180,3380,1988,2,7.419999905
2295,3969,1988,2,6.28
2526,402,1988,1,8.440000191
2632,5302,1988,1,6.440000191
3012,5088,1988,1,5.440000191
3246,265,1988,1,5.14
3279,5687,1988,1,3.94
3365,2255,1988,2,6.839999809
3509,1060,1988,2,7.339999809
3620,3609,1988,1,3
3646,894,1988,1,6.78
3774,650,1988,2,6.440000191
3838,261,1988,2,7.2
3846,3512,1988,2,6.680000095
3862,2031,1988,1,4.709999905
3945,5121,1988,1,4.940000191
4225,3437,1988,1,7.64
4361,651,1988,1,6.579999809
4487,2453,1988,2,5.659999905
4654,4966,1988,1,6.739999905
4821,4943,1988,1,7.120000191
5058,5031,1988,1,7.900000191
5114,5267,1988,2,7.7
5245,3271,1988,1,5.580000191
5325,3514,1988,2,6.979999809
5450,5251,1988,1,3.78
5476,260,1988,1,6.040000095
5506,4920,1988,2,5.94
40,3645,1989,1,6.680000095
91,2789,1989,1,7.009999905
122,190,1989,1,6.42
204,4963,1989,1,5.825000095
310,3860,1989,2,4.680000095
519,3507,1989,1,7.119999809
634,3204,1989,1,5.960000095
823,3874,1989,1,6.619999809
888,911,1989,2,5.600000095
1827,2524,1989,2,7.240000191
1932,1885,1989,1,5.159999809
1936,5437,1989,2,6.32
2067,3942,1989,1,6.080000191
2087,4185,1989,1,5.44
2103,5301,1989,1,4.705000095
2218,4961,1989,1,5.479999809
2223,352,1989,2,5.925
2259,3199,1989,1,7.120000191
2273,3968,1989,1,7.280000095
2310,2756,1989,2,5.479999809
2527,402,1989,1,5.725000191
2620,811,1989,2,8.740000381
3013,5088,1989,1,3.940000191
3174,3201,1989,1,6.000000191
3247,265,1989,1,5.680000191
3517,4179,1989,2,8.880000381
3639,264,1989,2,7.775
3647,894,1989,1,6.829999905
3728,4419,1989,1,5.600000095
3825,4414,1989,2,8.420000381
3831,3440,1989,2,6.28
4005,4945,1989,1,7.139999809
4081,2960,1989,2,5.540000095
4488,2453,1989,1,4.659999905
4655,4966,1989,2,7.459999619
4822,4943,1989,2,6.820000095
4829,4224,1989,2,7.120000191
4858,4944,1989,1,4.82
4969,5708,1989,1,6.680000095
5004,3719,1989,2,6.119999809
5218,5085,1989,2,6.659999809
5332,886,1989,1,4.659999809
5432,5444,1989,1,7.109999809
5441,1223,1989,1,7.865
5507,2256,1989,1,5.720000095
92,2789,1990,1,8.380000381
111,4967,1990,2,6.860000095
195,2270,1990,1,6.359999905
220,5264,1990,1,5.42
311,3860,1990,1,6.419999905
520,3507,1990,2,8.019999809
611,3823,1990,1,6.41
1135,3377,1990,2,7.120000191
1160,3651,1990,1,7.64
